Gene
AADACL2
AAED1
AATBC
ABAT
ABCA12
ABCA13
ABCC1
ABCD3
ABCG1
ABHD11
ABLIM3
ACKR4
ACOT11
ACOX1
ACP5
ACP6
ACPP
ACTG1P4
ADAM12
ADAM23
ADAMTS12
ADAMTS2
ADAP2
ADD3
ADGRF1
ADGRG2
ADGRG6
ADGRV1
ADH7
ADORA2B
ADRB1
AEBP1
AFAP1L1
AFAP1L2
AFDN
AFDN-AS1
AFF3
AGFG2
AGR2
AGR3
AHNAK
AIF1L
AIFM2
AIM1L
AKR1B10
AKR1C1
AKR1C2
AKR1C3
ALCAM
ALDH1A1
ALDH1A3
ALDH1L1
ALDH3A1
ALDH6A1
ALOX12B
ALOXE3
AMPD3
AMY1A
AMY1B
AMY1C
AMY2A
AMY2B
ANGPT2
ANGPTL2
ANKRD20A1
ANKRD20A11P
ANKRD20A12P
ANKRD20A2
ANKRD20A3
ANKRD20A4
ANKRD20A5P
ANKRD20A8P
ANKRD20A9P
ANKRD29
ANKRD35
ANO1
ANPEP
ANTXR1
ANXA1
ANXA11
ANXA3
ANXA9
APBB2
APCDD1
APOL1
AQP5
AR
ARFGEF3
ARG1
ARHGAP20
ARHGAP27
ARHGAP28
ARHGAP5
ARHGAP5-AS1
ARRDC4
ASAP1
ASPN
ASPRV1
ASTN2
ATP13A4
ATP1B1
ATP1B3
ATP2A3
ATP2C1
ATP6V0A4
ATP6V0E2
ATP8A1
AVPR1A
B3GALT5
B3GNT3
B3GNT9
B4GALT5
BANK1
BARX2
BBIP1
BBOX1-AS1
BCAS1
BCKDHB
BCL11B
BCL2L10
BDNF
BEX2
BEX3
BEX4
BEX5
BGN
BICD2
BICDL2
BLNK
BMP1
BMP2
BNC1
BNIP3
BPIFA1
BPIFB1
BPIFB2
BPIFC
BST2
BTC
BTG3
BTNL9
C10orf99
C11orf52
C12orf75
C15orf48
C15orf59
C15orf62
C18orf25
C1GALT1
C1QTNF2
C1QTNF5
C1orf116
C1orf186
C21orf91
C2orf40
C2orf54
C3orf14
C3orf67
C4orf19
C4orf48
C5orf66-AS1
C6orf132
C6orf15
C6orf58
C7
C9orf152
CA13
CA2
CAB39L
CACNA2D3
CALB2
CALD1
CALML5
CALU
CAMK2N1
CAMSAP2
CAPN1
CAPN14
CAPN5
