Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,gland development (GO:0048732),13/71,0.00033401083615948137,0.0200354312502538,0,0,3.461377603277569,27.706033242906106,ANXA1;IGSF3;TGFB3;CAV1;COBL;MSN;NRG1;DKK3;SOX2;HES1;SOX9;MET;NKX3-1
GO_Biological_Process_2021,positive regulation of cellular process (GO:0048522),60/625,0.0003734156622682553,0.02194283404902,0,0,1.6599187208021573,13.101436993372062,IRS1;BNC1;LAMC2;EPB41L4B;TCL1A;CDH3;CCND2;CAPNS1;CCND1;HYAL1;SIRPA;SOX9;CD36;CAPN1;SOX4;NKX3-1;KRT6A;PDGFRB;IL15RA;OSR2;F2R;NRG1;LIFR;AVPR1A;OSMR;RHOD;PGF;CDC25B;BTC;GREM1;AR;CEACAM6;DLX1;PTGFR;DLX2;PRKAA2;TNFRSF11A;PTN;THBS1;CDKN2AIP;PTHLH;CLEC7A;PDPN;GCNT2;HES1;IL12RB2;NTRK2;TGFB1;TGFB3;NTRK3;CAV1;FN1;AKR1C3;HMGA2;PTK6;MEIS2;P2RX7;TJP1;MEIS1;CRLF1
GO_Biological_Process_2021,proteolysis (GO:0006508),33/287,0.0003772406999831527,0.02194283404902,0,0,2.018684273106801,15.912535383278374,ENPEP;CPXM2;HTRA3;TMPRSS4;HTRA1;TMPRSS2;PLAT;AEBP1;ADAMTS12;LRP8;WFDC2;ENDOU;PLAU;ANPEP;CTSK;CAPN5;CPXM1;CAPN1;TPSAB1;CTSC;ADGRV1;MMP1;MMP2;KLK14;TMPRSS11E;F3;ASPRV1;MMP9;MMP12;CAPN14;BMP1;FAP;PIP
GO_Biological_Process_2021,negative regulation of endopeptidase activity (GO:0010951),12/63,0.0003839613094735642,0.0220004099562539,0,0,3.632025604965812,28.56576794411695,SERPINB4;SERPINB1;SERPINB12;SERPINB2;SERPINE2;SERPINE1;TIMP2;SERPINH1;FETUB;SERPINB7;SERPINB8;LTF
GO_Biological_Process_2021,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092),8/31,0.00042988307711307855,0.0242694284270163,0,0,5.359436961880604,41.54634085771001,SFRP4;TGFB1;NREP;FSTL1;FOLR1;DKK3;SMAD7;ENG
GO_Biological_Process_2021,regulation of cellular response to transforming growth factor beta stimulus (GO:1903844),7/24,0.00043698974721054153,0.0243130962252357,0,0,6.341446923597025,49.05490205326645,DLX1;TGFB1;NREP;FOLR1;DKK3;SMAD7;ENG
GO_Biological_Process_2021,cell junction assembly (GO:0034329),16/102,0.0004588707319062023,0.0250113431896211,0,0,2.875949756669937,22.10668383453428,FBLIM1;BDNF;FN1;PCDHB14;GJC1;TJP1;PARD6B;FLRT3;CDH11;PCDHB16;FSCN1;PKP2;PKP1;DSG1;NRCAM;ITGA6
GO_Biological_Process_2021,positive regulation of cell-cell adhesion (GO:0022409),10/47,0.00046256977506202137,0.0250113431896211,0,0,4.168168168168168,32.00616771345294,FOXA1;TJP1;AFDN;CEACAM6;GCNT2;PLAUR;THY1;CD44;FUT3;SMAD7
GO_Biological_Process_2021,hemidesmosome assembly (GO:0031581),5/12,0.000470985070465554,0.0251126622988508,0,0,10.988290398126464,84.17782222011593,COL17A1;KRT14;LAMA3;ITGA6;LAMC2
GO_Biological_Process_2021,long-chain fatty acid metabolic process (GO:0001676),14/83,0.000482300117258396,0.0253637006870545,0,0,3.1341208008712407,23.93510500714604,CYP2J2;GLYATL2;HPGD;EPHX2;FAAH2;ELOVL6;ALOX12B;ACOX1;GSTA1;PNPLA3;CYP2E1;SLC27A2;ALOXE3;MGLL
GO_Biological_Process_2021,chondrocyte differentiation (GO:0002062),8/32,0.0005426974535061434,0.0277576491444469,0,0,5.135853190906601,38.61626735978655,OSR2;BMP2;TGFB1;WNT5B;HMGA2;SOX9;SULF1;SLC39A14
GO_Biological_Process_2021,vascular transport (GO:0010232),14/84,0.000546699233226185,0.0277576491444469,0,0,3.089182493806771,23.204739532626142,ABCC1;SLC15A2;SLC16A1;ATP8A1;SLC44A1;KCNJ8;SLC1A1;ATP2A3;SLC2A1;AVPR1A;SLC6A1;SLC4A4;SLC7A8;SLC38A5
GO_Biological_Process_2021,fatty acid metabolic process (GO:0006631),18/124,0.0005495132417238781,0.0277576491444469,0,0,2.6265182660893216,19.71590075795788,CYP2J2;ABCD3;HPGD;ACOT11;CYP4B1;ALOX12B;CEL;FA2H;ACOX1;LIPH;LIPG;PNPLA3;SLC27A6;CD36;LPIN1;SLC27A2;PPARGC1A;ALOXE3
GO_Biological_Process_2021,negative regulation of blood coagulation (GO:0030195),9/40,0.0005724633394138276,0.0281754712821754,0,0,4.475169779286927,33.40965682370649,THBD;SERPINB2;SERPINE2;PLAU;SERPINE1;KRT1;PLAUR;PLAT;F3
GO_Biological_Process_2021,positive regulation of ossification (GO:0045778),9/40,0.0005724633394138276,0.0281754712821754,0,0,4.475169779286927,33.40965682370649,FBN2;P2RX7;OSR2;BMP2;ADGRV1;TGFB1;TGFB3;ISG15;PTN
GO_Biological_Process_2021,circulatory system development (GO:0072359),18/126,0.0006673068277487024,0.0324277330598388,0,0,2.577602872134769,18.848103940350168,CDKN1A;FOXC1;TGFB1;NTRK3;FN1;MICAL2;CRIP1;BMP2;COL3A1;ADAP2;PDLIM2;FLRT3;ID2;SH3PXD2B;PKP2;RBM20;SOX9;SOX4
GO_Biological_Process_2021,positive regulation of monocyte chemotaxis (GO:0090026),6/19,0.0007083074231633891,0.0339899024690531,0,0,7.103678929765886,51.52037157456014,CXCL10;SERPINE1;CXCL17;S100A14;PLA2G7;S100A7
GO_Biological_Process_2021,regulation of chondrocyte differentiation (GO:0032330),7/26,0.0007457122486588735,0.0349120649097733,0,0,5.673321234119782,40.85455497092016,GREM1;SCIN;SNAI2;SOX9;ADAMTS12;PTHLH;LOXL2
